"subject"	"activity"	"measurementMean"
"69"	12	"WALKING_DOWNSTAIRS"	-0.311490436338625
"70"	12	"SITTING"	-0.636301750626951
"71"	12	"STANDING"	-0.627684013763497
"72"	12	"LAYING"	-0.63012919397725
"73"	13	"WALKING"	-0.316988827925179
"74"	13	"WALKING_UPSTAIRS"	-0.411582073864772
"75"	13	"WALKING_DOWNSTAIRS"	-0.317234723087439
"76"	13	"SITTING"	-0.638179130162868
"77"	13	"STANDING"	-0.639297749080434
"78"	13	"LAYING"	-0.624337936876007
"79"	14	"WALKING"	-0.385501824502105
"80"	14	"WALKING_UPSTAIRS"	-0.285486358859423
"81"	14	"WALKING_DOWNSTAIRS"	-0.203378373864087
"82"	14	"SITTING"	-0.639930771868791
"83"	14	"STANDING"	-0.633771114374627
"84"	14	"LAYING"	-0.628355645282404
"85"	15	"WALKING"	-0.390526282476396
"86"	15	"WALKING_UPSTAIRS"	-0.393720911542089
"87"	15	"WALKING_DOWNSTAIRS"	-0.280227328116279
"88"	15	"SITTING"	-0.641496217339585
"89"	15	"STANDING"	-0.640037091389994
"90"	15	"LAYING"	-0.639883147448173
"91"	16	"WALKING"	-0.431362808379042
"92"	16	"WALKING_UPSTAIRS"	-0.440146451770759
"93"	16	"WALKING_DOWNSTAIRS"	-0.339080301791712
"94"	16	"SITTING"	-0.642254023210701
"95"	16	"STANDING"	-0.646538416475197
"96"	16	"LAYING"	-0.635906117499551
"97"	17	"WALKING"	-0.387039462708526
"98"	17	"WALKING_UPSTAIRS"	-0.401431355861112
"99"	17	"WALKING_DOWNSTAIRS"	-0.365194496888334
"100"	17	"SITTING"	-0.643707360983648
"101"	17	"STANDING"	-0.644675070329398
"102"	17	"LAYING"	-0.629876420657766
"103"	18	"WALKING"	-0.436306077297177
"104"	18	"WALKING_UPSTAIRS"	-0.470681472754459
"105"	18	"WALKING_DOWNSTAIRS"	-0.438663811185222
"106"	18	"SITTING"	-0.650240242162375
"107"	18	"STANDING"	-0.645518459042212
"108"	18	"LAYING"	-0.645039855011435
"109"	19	"WALKING"	-0.238252786596887
"110"	19	"WALKING_UPSTAIRS"	-0.316821118319495
"111"	19	"WALKING_DOWNSTAIRS"	-0.078306398113335
"112"	19	"SITTING"	-0.638986666530727
"113"	19	"STANDING"	-0.640136697217531
"114"	19	"LAYING"	-0.632999218754884
"115"	20	"WALKING"	-0.259518117088663
"116"	20	"WALKING_UPSTAIRS"	-0.338291941451443
"117"	20	"WALKING_DOWNSTAIRS"	-0.247169665420288
"118"	20	"SITTING"	-0.639872725383092
"119"	20	"STANDING"	-0.620027732157146
"120"	20	"LAYING"	-0.644397438696908
"121"	21	"WALKING"	-0.330648706245588
"122"	21	"WALKING_UPSTAIRS"	-0.381967006088137
"123"	21	"WALKING_DOWNSTAIRS"	-0.291301975673511
"124"	21	"SITTING"	-0.644724493205524
"125"	21	"STANDING"	-0.638450214241584
"126"	21	"LAYING"	-0.63110876443376
"127"	22	"WALKING"	-0.274200987116311
"128"	22	"WALKING_UPSTAIRS"	-0.305185521541175
"129"	22	"WALKING_DOWNSTAIRS"	-0.287664837258693
"130"	22	"SITTING"	-0.634015600138589
"131"	22	"STANDING"	-0.635992094486953
"132"	22	"LAYING"	-0.632109081483277
"133"	23	"WALKING"	-0.265296718829829
"134"	23	"WALKING_UPSTAIRS"	-0.369581312588007
"135"	23	"WALKING_DOWNSTAIRS"	-0.20246554081645
"136"	23	"SITTING"	-0.632843540612456
"137"	23	"STANDING"	-0.637024168810267
"138"	23	"LAYING"	-0.628089473591726
"139"	24	"WALKING"	-0.416975175176002
"140"	24	"WALKING_UPSTAIRS"	-0.43583828688532
"141"	24	"WALKING_DOWNSTAIRS"	-0.359085991984149
"142"	24	"SITTING"	-0.646619496620551
"143"	24	"STANDING"	-0.634194893841734
"144"	24	"LAYING"	-0.634203387560794
"145"	25	"WALKING"	-0.460842122215599
"146"	25	"WALKING_UPSTAIRS"	-0.48551223324769
"147"	25	"WALKING_DOWNSTAIRS"	-0.429924410531157
"148"	25	"SITTING"	-0.645307467575153
"149"	25	"STANDING"	-0.645297950751058
"150"	25	"LAYING"	-0.589506698496036
"151"	26	"WALKING"	-0.392008755561813
"152"	26	"WALKING_UPSTAIRS"	-0.41167278243368
"153"	26	"WALKING_DOWNSTAIRS"	-0.322473123490661
"154"	26	"SITTING"	-0.642718508921569
"155"	26	"STANDING"	-0.644004547265191
"156"	26	"LAYING"	-0.640679888089531
"157"	27	"WALKING"	-0.377771272094104
"158"	27	"WALKING_UPSTAIRS"	-0.426267052017458
"159"	27	"WALKING_DOWNSTAIRS"	-0.312446129792811
"160"	27	"SITTING"	-0.647329814034974
"161"	27	"STANDING"	-0.644356212162637
"162"	27	"LAYING"	-0.645993647892745
"163"	28	"WALKING"	-0.393787255237739
"164"	28	"WALKING_UPSTAIRS"	-0.401092965937606
"165"	28	"WALKING_DOWNSTAIRS"	-0.291650876955502
"166"	28	"SITTING"	-0.637322526513564
"167"	28	"STANDING"	-0.627883524309929
"168"	28	"LAYING"	-0.640518710327799
"169"	29	"WALKING"	-0.352894943404783
"170"	29	"WALKING_UPSTAIRS"	-0.364429747315138
"171"	29	"WALKING_DOWNSTAIRS"	-0.31726279115201
"172"	29	"SITTING"	-0.644100724926612
"173"	29	"STANDING"	-0.650245278868483
"174"	29	"LAYING"	-0.646324698842316
"175"	30	"WALKING"	-0.373607524126774
"176"	30	"WALKING_UPSTAIRS"	-0.439370730188029
"177"	30	"WALKING_DOWNSTAIRS"	-0.358790607945901
"178"	30	"SITTING"	-0.646017901904583
"179"	30	"STANDING"	-0.630635453342216
"180"	30	"LAYING"	-0.642625296795821
